2135,Bidirection,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4375,0.3750,0.3125,0.2500,0.3750,0.5000,0.6250,0.7500,0.6875,0.6250,0.5625,0.5000,0.5000,0.5000
1007706,Single,7.4375,7.2500,7.3750,7.5000,7.6250,7.7500,7.7500,7.7500,7.7500,7.7500,7.5000,7.2500,7.0000,6.7500,6.3750,6.0000,5.6250,5.2500,5.0000,4.7500,4.5000,4.2500,3.9375,3.6250
1005661,Single,10.7500,10.7500,10.6875,10.6250,10.5625,10.5000,10.5625,10.6250,10.6875,10.7500,11.8750,13.0000,14.1250,15.2500,13.5000,11.7500,10.0000,8.2500,7.8750,7.5000,7.1250,6.7500,6.7500,6.7500
1007711,Single,6.5000,6.5000,7.3125,8.1250,8.9375,9.7500,9.8750,10.0000,10.1250,10.2500,10.1875,10.1250,10.0625,10.0000,8.3750,6.7500,5.1250,3.5000,3.3125,3.1250,2.9375,2.7500,2.7500,2.7500
12304,Bidirection,12.3125,12.7500,14.3750,16.0000,17.6250,19.2500,19.0000,18.7500,18.5000,18.2500,18.7500,19.2500,19.7500,20.2500,18.3125,16.3750,14.4375,12.5000,11.5625,10.6250,9.6875,8.7500,8.0625,7.3750
1013859,Bidirection,5.0000,5.0000,5.6875,6.3750,7.0625,7.7500,7.5000,7.2500,7.0000,6.7500,6.0000,5.2500,4.5000,3.7500,3.5000,3.2500,3.0000,2.7500,2.5625,2.3750,2.1875,2.0000,2.0000,2.0000
2149,Bidirection,0.9375,1.0000,0.9375,0.8750,0.8125,0.7500,0.8125,0.8750,0.9375,1.0000,1.1875,1.3750,1.5625,1.7500,2.2500,2.7500,3.2500,3.7500,3.6250,3.5000,3.3750,3.2500,2.7500,2.2500
1005670,Single,9.5000,9.5000,9.4375,9.3750,9.3125,9.2500,9.2500,9.2500,9.2500,9.2500,8.8750,8.5000,8.1250,7.7500,6.9375,6.1250,5.3125,4.5000,4.3750,4.2500,4.1250,4.0000,4.0000,4.0000
1013863,Bidirection,13.5000,12.5000,12.5625,12.6250,12.6875,12.7500,13.3125,13.8750,14.4375,15.0000,15.8125,16.6250,17.4375,18.2500,16.5000,14.7500,13.0000,11.2500,11.0000,10.7500,10.5000,10.2500,9.3750,8.5000
8305,Single,24.2500,24.2500,24.8125,25.3750,25.9375,26.5000,26.8125,27.1250,27.4375,27.7500,25.6875,23.6250,21.5625,19.5000,19.2500,19.0000,18.7500,18.5000,16.5625,14.6250,12.6875,10.7500,10.7500,10.7500
